Date,Open,High,Low,Close,Adj Close,Volume
2021-09-28,0.661759,0.683482,0.617115,0.619152,0.619152,103762949
2021-09-29,0.620060,0.671324,0.616469,0.647256,0.647256,87819395
2021-09-30,0.645685,0.697392,0.642531,0.688232,0.688232,88766690
2021-10-01,0.689574,0.759664,0.680543,0.752952,0.752952,118813928
2021-10-02,0.753739,0.782058,0.739827,0.753345,0.753345,96996179
2021-10-03,0.752185,0.771574,0.739199,0.765275,0.765275,76887615
2021-10-04,0.768490,0.828786,0.726742,0.766261,0.766261,242492275
2021-10-05,0.766634,0.784447,0.747183,0.781664,0.781664,119228151
2021-10-06,0.780715,0.793452,0.725965,0.776113,0.776113,118911401
2021-10-07,0.775741,0.781053,0.749251,0.771234,0.771234,80432781
2021-10-08,0.772027,0.813805,0.770688,0.813805,0.813805,116963615
2021-10-09,0.814035,0.839713,0.800381,0.839713,0.839713,108702962
2021-10-10,0.841205,0.841205,0.768239,0.772130,0.772130,76825493
2021-10-11,0.769971,0.799809,0.748020,0.763221,0.763221,87539224
2021-10-12,0.763575,0.763575,0.714770,0.754211,0.754211,68893417
2021-10-13,0.755207,0.769248,0.734147,0.767640,0.767640,62866845
2021-10-14,0.769006,0.788879,0.759937,0.773497,0.773497,62862165
2021-10-15,0.773899,0.776328,0.738841,0.757080,0.757080,97945427
2021-10-16,0.756954,0.864098,0.756954,0.805277,0.805277,203353463
2021-10-17,0.809358,0.812991,0.738557,0.766257,0.766257,107039041
2021-10-18,0.765083,0.771052,0.738234,0.749397,0.749397,66583624
2021-10-19,0.749927,0.777997,0.741988,0.772761,0.772761,75499722
2021-10-20,0.773496,0.843966,0.768817,0.814566,0.814566,151938014
2021-10-21,0.815169,0.831896,0.781695,0.787965,0.787965,113312946
2021-10-22,0.788779,0.813294,0.778603,0.791398,0.791398,76945135
2021-10-23,0.790220,0.799899,0.781431,0.794013,0.794013,50314457
2021-10-24,0.794446,0.800749,0.755189,0.778649,0.778649,60915059
2021-10-25,0.778677,0.810300,0.772883,0.809092,0.809092,66854730
2021-10-26,0.808451,0.857097,0.801894,0.815543,0.815543,144589228
2021-10-27,0.815585,0.856248,0.720840,0.753363,0.753363,192403484
2021-10-28,0.753463,0.994092,0.747774,0.921315,0.921315,514335612
2021-10-29,0.925921,1.484803,0.924383,1.399354,1.399354,4627792912
2021-10-30,1.395306,4.691108,1.288157,3.564692,3.564692,27574037170
2021-10-31,3.581095,4.161746,2.565811,2.892260,2.892260,14350759420
2021-11-01,2.888525,3.524432,2.629255,3.048130,3.048130,7550437209
2021-11-02,3.034263,3.441218,2.930539,3.082580,3.082580,4844009466
2021-11-03,3.106975,3.181673,2.716242,2.854916,2.854916,2714746340
2021-11-04,2.862364,2.931061,2.424743,2.510128,2.510128,2091599232
2021-11-05,2.505528,2.739024,2.371853,2.605363,2.605363,2130677817
2021-11-06,2.598464,3.067717,2.598464,2.814137,2.814137,3564912300
